origin,destination,count
ABE,ATL,853
48365,48401,5
48367,48093,5
48367,48037,5
48367,48141,5
48367,48201,5
48375,48113,5
48379,48423,5
48381,48441,5
48383,48461,5
48389,48029,5
48397,48349,5
48397,48133,5
48399,48439,5
48401,48439,5
48401,48121,5
48423,22097,5
48423,48363,5
48423,48001,5
48423,22061,5
48423,48059,5
48423,48485,5
48435,48389,5
48439,48389,5
48439,48077,5
48439,48449,5
48439,48293,5
48439,40109,5
48441,48169,5
48441,48223,5
48441,48049,5
48441,48081,5
48441,48231,5
48441,35025,5
48449,48423,5
48451,48151,5
48451,48253,5
48453,48085,5
48453,48223,5
48453,48231,5
48453,5091,5
48459,48113,5
48461,48383,5
48465,48329,5
48467,48397,5
48471,48397,5
48473,48439,5
48475,48243,5
48475,35029,5
48475,48033,5
48475,48363,5
48485,48135,5
48491,48329,5
48491,48231,5
48495,48371,5
48495,48353,5
48497,48363,5
48497,48143,5
48499,22017,5
5019,48133,4
5035,48309,4
5035,48439,4
5085,48367,4
5093,48027,4
5117,48133,4
5117,48139,4
5119,48183,4
5119,48439,4
5123,48091,4
5123,48309,4
5125,48027,4
5145,48139,4
22003,48183,4
22015,48121,4
22017,48251,4
22017,48133,4
22017,48449,4
22017,48073,4
22031,48365,4
22033,48257,4
22055,48203,4
22055,48439,4
22065,48139,4
22065,48121,4
22069,48439,4
22083,48367,4
22083,48133,4
22103,48423,4
35005,48353,4
35015,48367,4
35017,48329,4
35019,48353,4
35023,48227,4
35023,48059,4
35029,48133,4
40005,48113,4
40013,48139,4
40017,48113,4
40031,48329,4
40051,48135,4
40071,48439,4
40071,48217,4
40089,48113,4
40109,48335,4
40109,48183,4
40143,48113,4
40145,48139,4
48005,48085,4
48005,48203,4
48013,48367,4
48013,48135,4
48027,5091,4
48029,48423,4
48029,48203,4
48029,48397,4
48029,22017,4
48035,48367,4
48037,48133,4
48049,48303,4
48049,48227,4
48055,48113,4
48059,48139,4
48059,48429,4
48059,48415,4
48059,48389,4
48059,48251,4
48059,48109,4
48075,48423,4
48075,48201,4
48075,48257,4
48077,22017,4
48085,48121,4
48085,48309,4
48091,48329,4
48093,48113,4
